city,company,id,link,location,salary,snippet,source,state,title,type,updated
Golden,NEORIS,-4495129898952722768,https://jooble.org/jdp/-4495129898952722768,"Golden, NM",,"&nbsp;...empresas, TI y usuarios finales 
# Conocimiento de tendencias recientes en datos y análisis 
# Experiencia en visualización con <b>Tableau,</b> Power BI u otras herramientas modernas 

 Experiencia Deseable (no indispensable): 
# Creación de prototipos de soluciones de datos...&nbsp;",placed-app.com,NM,"Data Analyst BI Mexico, Mexico (Golden)",Full-time,2025-07-12T12:15:25.6000000
Jersey City,Tiger Analytics,2461582938172027695,https://jooble.org/jdp/2461582938172027695,"Jersey City, NJ",,"&nbsp;...Capacity planning, etc. 
 Basic understanding of leading tools and technologies in the Data and Analytics space such as Power BI, <b>Tableau,</b> SQL Server etc. 
 Project planning, smooth project execution and delivery for GenAI and LLM related projects. 
 Prioritize work,...&nbsp;",ziprecruiter.com,NJ,Project Manager - Analytics Consulting(GenAI),,2025-06-25T00:00:00.0000000
Portsmouth,Lonza,7525148575728826758,https://jooble.org/jdp/7525148575728826758,"Portsmouth, NH",,"&nbsp;...teams and global supply networks. 
 APICS/CPIM certification or equivalent. 
 Advanced Excel/data analytics skills (e.g., Power BI, <b>Tableau)</b>. 

 Every day, Lonza’s products and services have a positive impact on millions of people. For us, this is not only a great...&nbsp;",ziprecruiter.com,NH,"Associate Director, Raw Material Planning",,2025-06-26T00:00:00.0000000
Palm Beach County,Leeds Professional Resources,3096726858461451335,https://jooble.org/jdp/3096726858461451335,"Palm Beach County, FL",,"&nbsp;...analyst role, preferably in food distribution, consumer goods, or logistics 
~ Strong Excel skills; experience with BI tools like <b>Tableau,</b> Power BI, or Looker 
~ Familiarity with ERP systems and data visualization best practices 
~ Excellent problem-solving, communication...&nbsp;",app.linkedin.com,FL,Profitability Analyst,,2025-07-15T00:00:00.0000000
Bedminster,Hire Point Recruiting,7229667274323620005,https://jooble.org/jdp/7229667274323620005,"Bedminster, NJ",,"&nbsp;...L ownership, ideally in a mid-to-large company 
~ Strong Excel and financial modeling skills; experience with BI tools (Power BI, <b>Tableau,</b> etc.)
~ ERP experience (e.g., SAP, Oracle, NetSuite) preferred 
~ Excellent communication skills and ability to influence cross-...&nbsp;",ziprecruiter.com,NJ,Senior Regional Financial Analyst,,2025-06-29T00:00:00.0000000
Chicago,Cushman Wakefield Multifamily,-9209311182495499419,https://jooble.org/jdp/-9209311182495499419,"Chicago, IL",,"&nbsp;...strategy or strategic consulting. 
~ Experience with various real estate asset types is preferred. 
~ Knowledge of Microsoft Power BI, <b>Tableau,</b> Alteryx, and ESRI is a plus but not required. 
~ Prior experience in commercial real estate is essential. 
~ Strong leadership,...&nbsp;",placed-app.com,IL,Portfolio Strategy Lead (Chicago),Full-time,2025-07-16T12:13:53.4670000
Nashville,Southern Orthodontic Partners,7159302990021028750,https://jooble.org/jdp/7159302990021028750,"Nashville, TN",,"&nbsp;...look good). 
 Comfort working cross-functionally and managing multiple priorities. 
 Bonus points if you’ve worked with Power BI, <b>Tableau,</b> or have experience in healthcare or multi-site operations. 
 You’ll Fit Right In If You: 
 Enjoy translating numbers into...&nbsp;",ziprecruiter.com,TN,Financial Analyst,,2025-06-29T00:00:00.0000000
Winchester,Navy Federal Credit Union,-8625814650941615017,https://jooble.org/away/-8625814650941615017,"Winchester, VA",,"&nbsp;...OIC) and Oracle Banking Cloud Services (OBCS). 
 Experience with data analytics and use of data analytics tools like Power BI and <b>Tableau.</b> 
 Experience as a Sr data architect, with a strong focus on AWS / GCP Cloud data platform. 
 If you are a highly motivated and experienced...&nbsp;",indeediq.com,VA,ETS Senior Principal Data Architect (Azure),,2025-07-16T08:35:26.0270000
Carmel,OPENLANE,-4368010910934656871,https://jooble.org/jdp/-4368010910934656871,"Carmel, IN",$65k - $85k,"&nbsp;...Operations, Revenue Operations, Business analyst, or a similar function. 
~ Advanced proficiency in data visualization tools (e.g., <b>Tableau,</b> Power BI, Looker) and creating impactful dashboards. 
~ Expert-level proficiency in Microsoft Excel (pivot tables, VLOOKUPs,...&nbsp;",appcast.apply.com,IN,Dealership Solutions Manager,,2025-07-17T00:00:00.0000000
Greenwich,Northbound Search,512015996329221474,https://jooble.org/jdp/512015996329221474,"Greenwich, CT",,"&nbsp;...-tool implementation experience is a plus 
~ Advanced Excel skills and familiarity with BI or dashboarding tools (e.g., Power BI, <b>Tableau,</b> OneStream)
~ Clear, concise communicator comfortable interfacing directly with C-suite stakeholders and cross-functional teams...&nbsp;",placed-app.com,CT,Director of Finance (Greenwich),Full-time,2025-07-14T13:16:30.3970000
Wilmington,ENSTRUCTURE LLC,-8548371820525373472,https://jooble.org/jdp/-8548371820525373472,"Wilmington, DE",,"&nbsp;...related field 
~ Strong proficiency in Excel and financial modeling; experience with ERP and BI tools (e.g., SAP, Oracle, Power BI, <b>Tableau)</b> preferred 
~ Excellent analytical, problem-solving, and critical thinking skills 
~ Strong communication skills with the ability...&nbsp;",ziprecruiter.com,DE,Financial Planning & Analysis (FP&A) Analyst,,2025-07-04T00:00:00.0000000
Nashville,Southern Orthodontic Partners,6726979726548872934,https://jooble.org/jdp/6726979726548872934,"Nashville, TN",,"&nbsp;...story. 
~ Experience working cross-functionally and communicating with stakeholders at all levels. 
~ Bonus if you’ve used Power BI, <b>Tableau,</b> or worked in healthcare or multi-site ops. 

 You’ll Thrive Here If You: 
 Love solving complex problems and simplifying them...&nbsp;",ziprecruiter.com,TN,Sr. Financial Analyst,,2025-06-29T00:00:00.0000000
Chicago,Motion Recruitment,-7220531091680147625,https://jooble.org/jdp/-7220531091680147625,"Chicago, IL",,"&nbsp;...Job Title:  BI Developer (<b>Tableau)</b>  Job Location:  Chicago or Peoria, IL 
 Job Duration:  12 months with possible extension 

 Job Description: 
 Summary:  The main function of a specialty analyst/developer is to design, develop, and modify data and dashboards. Additionally...&nbsp;",app.linkedin.com,IL,Business Intelligence Developer,,2025-07-15T00:00:00.0000000
Franklin,PRI Technology,2576510492065635902,https://jooble.org/jdp/2576510492065635902,"Franklin, TN",,"&nbsp;...APO, JDA, or Kinaxis. 
 Comfortable with Excel modeling and dashboards. 

 Good to Have: 
 Experience with BI tools (Power BI, <b>Tableau)</b>. 
 Knowledge of pet care, CPG (Consumer Packaged Goods), or retail industry dynamics. 
 Familiarity with customer planning processes...&nbsp;",ziprecruiter.com,TN,Demand Planner,,2025-07-04T00:00:00.0000000
